"StationID","Replicate","SampleDate","Latitude","Longitude","Species","Abundance","Salinity","Stratum","Exclude"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Euphilomedes carcharodonta",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Amphipholis squamata",20,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Edwardsiidae",2,NA,"Bays","Yes"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Scolanthus scamiti",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Actiniaria",2,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Baseodiscus delineatus",3,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Carinomella lactea",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Tubulanus polymorphus",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Paranemertes californica",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Monostilifera family uncertain",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Phoronis sp",2,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Prosthiostomum latocelis",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Musculista senhousia",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Laevicardium substriatum",4,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Tellina meropsis",6,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Acteocina carinata",48,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Acteocina culcitella",1,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Barleeia haliotiphila",5,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Caecum californicum",21,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Astyris aurantiaca",5,NA,"Bays","No"
"B18-10016",1,2018-07-12,32.78454056,-117.24059266,"Plesiocystiscus politulus",10,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Capitella capitata Cmplx",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Mediomastus sp",84,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Notomastus magnus",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Metasychis disparidentatus",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Dorvillea (Schistomeringos) longicornis",11,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Lamispina schmidtii",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Glycera americana",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Neanthes acuminata Cmplx",6,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Armandia brevis",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Leitoscoloplos panamensis",68,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Hourstonius vilordes",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Caprella californica Cmplx",24,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Caprella sp",2,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Mayerella acanthopoda",16,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Monocorophium acherusicum",9,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paradexamine sp SD1",12,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Protohyale frequens",26,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Ericthonius brasiliensis",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Elasmopus bampo",18,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Podocerus fulanus",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Talitridae",2,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Acuminodeutopus heteruropus",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Rudilemboides stenopropodus",10,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paracerceis sculpta",41,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Chondrochelia dubia Cmplx",13,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Leptosynapta sp",22,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Amphipholis squamata",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Edwardsia californica",6,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Edwardsiidae",1,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Actiniaria",27,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Baseodiscus delineatus",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paranemertes californica",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Phoronidae",130,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Phoronis sp",163,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Hoploplana californica",4,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Musculista senhousia",69,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Lyonsia californica",3,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Tagelus affinis",4,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Tellina meropsis",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Acteocina carinata",27,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Haminoea vesicula",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Philine bakeri",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Columbellidae",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Aplysiopsis enteromorphae",6,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Capitella capitata Cmplx",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Mediomastus sp",84,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Notomastus magnus",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Metasychis disparidentatus",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Dorvillea (Schistomeringos) longicornis",11,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Lamispina schmidtii",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Glycera americana",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Neanthes acuminata Cmplx",6,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Armandia brevis",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Leitoscoloplos panamensis",68,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Hourstonius vilordes",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Caprella californica Cmplx",24,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Caprella sp",2,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Mayerella acanthopoda",16,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Monocorophium acherusicum",9,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paradexamine sp SD1",12,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Protohyale frequens",26,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Ericthonius brasiliensis",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Elasmopus bampo",18,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Podocerus fulanus",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Talitridae",2,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Acuminodeutopus heteruropus",2,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Rudilemboides stenopropodus",10,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paracerceis sculpta",41,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Chondrochelia dubia Cmplx",13,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Leptosynapta sp",22,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Amphipholis squamata",5,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Edwardsia californica",6,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Edwardsiidae",1,NA,"Bays","Yes"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Actiniaria",27,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Baseodiscus delineatus",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Paranemertes californica",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Phoronidae",130,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Phoronis sp",163,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Hoploplana californica",4,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Musculista senhousia",69,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Lyonsia californica",3,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Tagelus affinis",4,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Tellina meropsis",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Acteocina carinata",27,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Haminoea vesicula",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Philine bakeri",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Columbellidae",1,NA,"Bays","No"
"B18-10017",1,2018-07-13,32.78439096,-117.21531387,"Aplysiopsis enteromorphae",6,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Chaetozone columbiana",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Cirriformia sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Kirkegaardia cryptica",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Dorvillea (Schistomeringos) longicornis",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Micropodarke dubia",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Oxydromus pugettensis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Nephtys sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Armandia brevis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Leitoscoloplos pugettensis",4,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Levinsenia gracilis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Ampharete labrops",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Oligochaeta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Apolochus barnardi",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Caprella sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Hornellia occidentalis",28,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Hartmanodes hartmanae",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Podocerus fulanus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Rudilemboides stenopropodus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Platymera gaudichaudii",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Lophopanopeus frontalis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Heteroserolis carinata",4,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Paracerceis sculpta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Chondrochelia dubia Cmplx",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Zeuxo normani Cmplx",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Dendraster terminalis",43,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Amphipholis squamata",18,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Acanthoptilum sp",11,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Stylatula elongata",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"NEMATODA",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Paranemertes californica",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Monostilifera family uncertain",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Laevicardium substriatum",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Tagelus affinis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Tellina modesta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Barleeia haliotiphila",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Polygireulima rutila",5,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Nassarius mendicus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Armina californica",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Chaetozone columbiana",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Cirriformia sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Kirkegaardia cryptica",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Dorvillea (Schistomeringos) longicornis",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Micropodarke dubia",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Oxydromus pugettensis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Nephtys sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Armandia brevis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Leitoscoloplos pugettensis",4,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Levinsenia gracilis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Ampharete labrops",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Oligochaeta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Apolochus barnardi",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Caprella sp",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Hornellia occidentalis",28,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Hartmanodes hartmanae",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Podocerus fulanus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Rudilemboides stenopropodus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Platymera gaudichaudii",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Lophopanopeus frontalis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Heteroserolis carinata",4,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Paracerceis sculpta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Chondrochelia dubia Cmplx",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Zeuxo normani Cmplx",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Dendraster terminalis",43,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Amphipholis squamata",18,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Acanthoptilum sp",11,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Stylatula elongata",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"NEMATODA",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Paranemertes californica",2,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Monostilifera family uncertain",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Laevicardium substriatum",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Tagelus affinis",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Tellina modesta",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Barleeia haliotiphila",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Polygireulima rutila",5,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Nassarius mendicus",1,NA,"Bays","No"
"B18-10019",1,2018-07-13,32.76814478,-117.24181047,"Armina californica",2,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Marphysa sp B",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Nephtys californiensis",3,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Armandia brevis",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Ophelia limacina",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Eohaustorius barnardi",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Gibberosus myersi",4,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Hartmanodes hartmanae",2,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Rhepoxynius lucubrans",3,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Rhepoxynius menziesi",2,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Tryphosinae incertae sedis entalladurus",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Rudilemboides stenopropodus",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Neotrypaea biffari",12,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Anoplodactylus erectus",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Molpadia arenicola",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Amphiodia digitata",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Amphipholis squamata",1,NA,"Bays","No"
"B18-10020",1,2018-07-12,32.75812087,-117.24439286,"Callianax biplicata",3,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Mediomastus sp",3,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Euclymeninae",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Kirkegaardia cryptica",6,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Glycera americana",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Goniada littorea",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Malmgreniella macginitiei",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Leitoscoloplos panamensis",18,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Prionospio pygmaeus",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Phtisica marina",4,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Monocorophium acherusicum",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Amphideutopus oculatus",122,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Hartmanodes sp SD1",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Acuminodeutopus heteruropus",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Rudilemboides stenopropodus",9,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Oxyurostylis pacifica",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Campylaspis rubromaculata",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Ericerodes hemphillii",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Heteroserolis carinata",11,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Chondrochelia dubia Cmplx",3,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Euphilomedes carcharodonta",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Leptosynapta sp",11,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Heteronemertea",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Tubulanus cingulatus",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Phoronidae",1,NA,"Bays","Yes"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Phoronis sp",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Lucinisca nuttalli",1,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Lyonsia californica",2,NA,"Bays","No"
"B18-10022",1,2018-07-18,32.72408,-117.18307,"Asthenothaerus diegensis",6,NA,"Bays","No"
