"StationID","Replicate","SampleDate","Latitude","Longitude","SampleDepth","Species","Abundance","Salinity","Stratum","Exclude"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Rudilemboides stenopropodus",3,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Scoletoma sp A",6,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Scoletoma sp C",65,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Tagelus subteres",5,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Tubulanus cingulatus",2,NA,"Ports","No"
"B18-10130",1,2018-08-07,32.6759,-117.1271,10,"Philine sp A",1,NA,"Ports","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Capitellidae",1,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Diopatra sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Dorvillea (Schistomeringos) annulata",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Dorvillea (Schistomeringos) longicornis",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Exogone sp A",8,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Mediomastus sp",78,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Neanthes acuminata Cmplx",9,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Nereididae",589,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Notomastus sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Platynereis bicanaliculata",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Prionospio heterobranchia",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Prionospio lighti",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Pseudopolydora paucibranchiata",8,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Scoletoma tetraura Cmplx",2,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Spionidae",43,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Alpheus sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Copepoda",1,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Grandidierella japonica",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Mayerella acanthopoda",11,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Oxyurostylis pacifica",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Paradexamine sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Photis brevipes",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Lineidae",15,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Maculaura alaskensis Cmplx",12,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Paranemertes californica",2,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Zygeupolia rubens",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Bivalvia",2,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Haminoea vesicula",7,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Laevicardium substriatum",15,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Tellina cadieni",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,3.5,"Veneridae",1,33.69,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Capitella capitata Cmplx",30,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Diplandros singularis",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Diplocirrus sp SD1",2,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Dipolydora socialis",2,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Dorvillea (Schistomeringos) annulata",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Euchone limnicola",43,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Grandidierella japonica",53,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Lineidae",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Macoma yoldiformis",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Mediomastus sp",2,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Monocorophium acherusicum",175,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Monocorophium insidiosum",49,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Monocorophium sp",65,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Neanthes acuminata Cmplx",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Nephtys caecoides",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Phoronis sp",2,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Pista brevibranchiata",1,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Polydora cornuta",136,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Scolelepis (Parascolelepis) texana",7,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Syllis heterochaeta",2,32.47,"Estuaries","No"
"B18-10677",1,2018-08-09,33.77523,-118.20578,8.2,"Theora lubrica",1,32.47,"Estuaries","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Acteocina inculta",62,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Actiniaria",5,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Alpheus californiensis",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Amphipholis squamata",8,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Amphiuridae",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Anemonactis sp A",4,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Anoplodactylus erectus",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Asthenothaerus diegensis",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Barleeia haliotiphila",19,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Bemlos macromanus",9,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Capitella capitata Cmplx",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Caprella californica Cmplx",13,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Chondrochelia dubia Cmplx",49,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Deflexilodes sp",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Diplocirrus sp SD1",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Ericthonius brasiliensis",7,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Erileptus spinosus",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Eteone brigitteae",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Euphilomedes carcharodonta",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Exogone lourei",201,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Fabricinuda limnicola",59,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Glycera americana",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Goniada littorea",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Harmothoe imbricata Cmplx",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Heteroserolis carinata",4,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Hippolyte californiensis",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Hyalopomatus biformis",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Laevicardium substriatum",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Leitoscoloplos sp A",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Lepidonotus spiculus",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Leptosynapta sp",14,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Leucothoe alata",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Lineidae",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Lyonsia californica",4,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Mayerella acanthopoda",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Mediomastus sp",36,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Monocorophium acherusicum",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Musculista senhousia",44,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Nasageneia quinsana",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Neanthes acuminata Cmplx",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Notomastus lineatus",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Oligochaeta",3,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Ophiuroidea",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Paracerceis sp A",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Paranthura japonica",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Petaloclymene pacifica",109,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Phoronis sp",8,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Podocerus cristatus",6,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Prionospio heterobranchia",7,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Protohyale frequens",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Pseudopolydora paucibranchiata",129,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Schmittius politus",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Scoletoma sp A",23,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Scoletoma sp C",36,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Spiophanes duplex",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Tagelus subteres",2,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Tellina meropsis",1,NA,"Bays","No"
"B18-10465",1,2018-08-07,32.6758,-117.165,3.4,"Zeuxo normani Cmplx",9,NA,"Bays","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Acromegalomma pigmentum",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Acteocina inculta",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Actiniaria",226,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Alpheus californiensis",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Amphipholis squamata",15,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Amphiuridae",26,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Aphelochaeta glandaria Cmplx",15,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Armandia brevis",51,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Barleeia subtenuis",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Caecum californicum",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Calyptraeidae",267,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Capitella capitata Cmplx",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Caulleriella pacifica",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Chione sp",2,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Cirratulus spectabilis",30,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Cossura candida",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Crucibulum spinosum",470,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Cylindroleberididae",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Decamastus gracilis",5,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Diplocirrus sp SD1",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Dipolydora socialis",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Dorvillea (Schistomeringos) annulata",90,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Elasmopus bampo",26,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Euchone limnicola",27,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Euclymeninae sp A",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Euphilomedes carcharodonta",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Exogone lourei",191,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Farfantepenaeus californiensis",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Glycera americana",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Haminoea vesicula",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Hemiproto sp A",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Laevicardium substriatum",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Leitoscoloplos pugettensis",45,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Leptosynapta sp",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Lyonsia californica",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Mactrotoma californica",7,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Maldanidae",15,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Marphysa sp",2,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Mediomastus sp",66,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Megasyllis nipponica",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Microspio microcera",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Microspio pigmentata",2,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Musculista senhousia",48,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Mysidopsis californica",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Mytilidae",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Neanthes acuminata Cmplx",19,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Notomastus lineatus",12,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Oerstedia dorsalis Cmplx",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Oligochaeta",43,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Ophryotrocha sp",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Paracerceis sp",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Paradialychone ecaudata",2,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Paranthura japonica",11,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Petaloclymene pacifica",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Pista brevibranchiata",14,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Pista moorei",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Pista wui",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Podocerus cristatus",4,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Polydora cornuta",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Prionospio heterobranchia",28,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Prionospio sp",6,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Pseudopolydora paucibranchiata",617,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Rudilemboides stenopropodus",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Scolelepis (Parascolelepis) texana",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Scoletoma sp C",10,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Scoloplos acmeceps",7,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Sphaerosyllis californiensis",8,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Sphenia luticola",14,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Tagelus subteres",23,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Thelepus hamatus",1,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Theora lubrica",3,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Venerupis philippinarum",9,33.8,"Estuaries","No"
"B18-10149",1,2018-08-16,33.76611,-118.10406,13.8,"Zeuxo normani Cmplx",7,33.8,"Estuaries","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Ambidexter panamensis",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Euchone limnicola",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Exogone lourei",3,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Grandidierella japonica",2,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Musculista senhousia",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Panopeidae",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Poecilochaetus martini",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Prionospio heterobranchia",4,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Pseudopolydora paucibranchiata",28,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Scoletoma sp A",1,NA,"Ports","No"
"B18-10128",1,2018-08-07,32.6784,-117.1244,10,"Scoletoma sp C",9,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Anoplodactylus erectus",1,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Diplocirrus sp SD1",6,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Grandidierella japonica",1,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Leitoscoloplos sp A",3,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Leptosynapta sp",1,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Metasychis disparidentatus",1,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Musculista senhousia",2,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Prionospio heterobranchia",5,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Scolanthus triangulus",1,NA,"Ports","No"
"B18-10125",1,2018-08-07,32.6832,-117.1292,11,"Scoletoma sp C",20,NA,"Ports","No"
